"Data Source","Indicateurs du développement dans le monde",

"Last Updated Date","2023-12-18",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022",
"Aruba","ABW","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFE","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Afghanistan","AFG","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"","AFW","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Angola","AGO","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Albanie","ALB","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","674","447","447","447","440","440","447","447","447","447","423","423","423","423","423","","","","","","","","","","","","","",
"Andorre","AND","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Le monde arabe","ARB","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Émirats arabes unis","ARE","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","279","261","261","279","",
"Argentine","ARG","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3150","13488","","","","","","","18097","18097","","17609","17609","17866","17866","","","",
"Arménie","ARM","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","796","796","796","796","843","843","843","711","711","711","","845","","826.072","","826.07201","","","","703.2","703.2","679.363","685.66","698.4","698.4","698.4","698.4","",
"Samoa américaines","ASM","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Antigua-et-Barbuda","ATG","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Australie","AUS","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Autriche","AUT","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5672","5672","5672","5739","5740","5665","5697","5779","5752","5766","5782","5818","5793","5784","5356","5351","4917","4985","4950","4956","4937","4917","4953","4955","4968","4966","4962","",
"Azerbaïdjan","AZE","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2123","2116","2117","2116","2116","2116","2116","2122","2122","2122","2122","2122","2099","2099.1","2079","2079.1","2079.3","2068.1","2068.1","2066.4","2067.8","2074","2132","2133.07","2139.87","2239.18","2138.85","",
"Burundi","BDI","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Belgique","BEL","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3368","3380","3422","3470","3472","3471","3454","3518","3521","3536","3544","3500","3374","3513","3578","3582","","3592","","3631","3607","3602","3605","3607","3615","3615","3612","",
"Bénin","BEN","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","579","579","458","458","","","","438","","","758","","","","","","","","","","","","","","","","",
"Burkina Faso","BFA","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","622","622","622","622","622","622","622","622","622","622","622","622","622","622","622","","","","518","518","518","518","518","518","518","518","518","",
"Bangladesh","BGD","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2706","2705","2705","2734","2705","2745","2855","2855","2855","2855","2855","2855","2835","2835","2835","2835","2791","2877","2877","2791","2877","2877","2877","2877","2877","","","",
"Bulgarie","BGR","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4294","4293","4292","4290","4290","4320","4320","4318","4318","4259","4154","4146","4143","4144","4150","4097","4072","4070","4032","4023","4019","4029","4030","4030","4030","4029","4031","",
"Bahreïn","BHR","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bahamas","BHS","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bosnie-Herzégovine","BIH","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1032","963","963","1031","1031","943","1032","1032","1033","1000","1000","1024.495","1017.054","1017.054","1017.054","1027.054","1027.054","1027.054","1027.054","1027.054","1027.054","1018.054","417","1018.054","1018.054","","","",
"Bélarus","BLR","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5543","5547","5542","5531","5523","5512","5509","5512","5502","5498","5498","5494","5494","5491","5491","5482","5482","5462","5469","5470","5470","5459","5459","5459","5459.2","5453.5","5474","",
"Belize","BLZ","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bermudes","BMU","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivie","BOL","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brésil","BRA","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","512","","","32622","","","","","","","","","","","","","","","",
"Barbade","BRB","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunéi Darussalam","BRN","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhoutan","BTN","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","971","888","888","888","888","","","","","","","888","888","","","","","","","","886","886","886","886","886","886","886","",
"République centrafricaine","CAF","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46968.6","45581.6","48498.4","48150.4","47687.4","47987.47","48309.23088","48149.90622","",
"Europe centrale et les pays baltes","CEB","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Suisse","CHE","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3232","3234","3184","3151","3143","3216","3225","3222","3231","3381","3399","3563","3349","3557","3599","3573.621","3551.185","3557.787","3611.016","4018.719","3976.315","4034.485","4050.523","4046.845537","3647.245487","3671.75128","4122.25096","",
"Îles Anglo-Normandes","CHI","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chili","CHL","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2742","2710","","2208","2084","2035","2035","2035","","2030","2120","","","","","","","","","","","","2057","2396","2396","2396","2396","",
"Chine","CHN","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","54616","56678","57566","57583","57394","58656","59079","59530","60446","61015","62200","63411.7","63636.5","60809","65491","66239","72487","85843","79306","85320","89966","91675","93742","96353","102462","106235","109767","",
"Côte d'Ivoire","CIV","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","639","639","639","639","639","639","639","639","639","639","639","639","639","639","639","639","639","639","639","639","639","639","",
"Cameroun","CMR","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1006","1006","1006","1016","1016","1016","1016","1016","988","974","982","982","976.5","976.5","976.5","976.5","976.5","","","","","1004","884","884","884","884","884","",
"Congo, République démocratique du","COD","Lignes de chemin de fer (routes totales en km)","IS.RRS.TOTL.KM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4477","3641","3641","3641","3641","3641","3641","4499","4499","3641","3641","4007","4007","3641","3641","3641","3641","3641","3641","3641","3641","3641","3641","3641","3641","3641","3641","",
